Customer_ID,Branch,Region,Product,Customer_Segment,Loan_Officer,Disbursement_Date,Tenure_Months,Interest_Rate,Disbursed_Amount,Outstanding_Balance,DPD,IFRS9_Stage
CUST00066,Nakuru,Rift Valley,Motor Loan,Retail,L. Achieng,2025-03-13,84,0.1772,387502.84,176810.98,0,Stage 1 - Performing
CUST00067,Kitengela,Nairobi,Personal Loan,Corporate,L. Achieng,2023-05-01,36,0.1502,530396.87,335057.02,45,Stage 2 - Underperforming
CUST00068,Kitengela,Nairobi,Motor Loan,SME,F. Wanjiru,2025-04-18,60,0.1754,467913.45,129233.84,45,Stage 2 - Underperforming
CUST00069,Mombasa,Coast,Personal Loan,Retail,J. Mwangi,2023-09-23,36,0.1463,642200.72,95773.24,0,Stage 1 - Performing
CUST00070,Westlands,Nairobi,Asset Finance,Retail,L. Achieng,2024-11-24,12,0.1847,483841.16,340189.32,0,Stage 1 - Performing
CUST00071,Kisumu,Nyanza,Asset Finance,Retail,L. Achieng,2023-07-05,60,0.1624,167609.57,37598.36,0,Stage 1 - Performing
CUST00072,Nairobi CBD,Nairobi,Motor Loan,Corporate,L. Achieng,2023-09-21,60,0.17,572034.41,410395.7,150,Stage 3 - Non-Performing
CUST00073,Eldoret,Rift Valley,SME Loan,Retail,F. Wanjiru,2023-03-15,48,0.1832,163783.57,149280.25,0,Stage 1 - Performing
CUST00074,Kitengela,Nairobi,SME Loan,SME,M. Hassan,2023-01-10,60,0.1838,375375.11,172050.95,0,Stage 1 - Performing
CUST00075,Kitengela,Nairobi,SME Loan,SME,J. Mwangi,2023-02-24,36,0.1506,117613.13,68103.47,150,Stage 3 - Non-Performing
CUST00076,Nakuru,Rift Valley,SME Loan,Corporate,F. Wanjiru,2025-03-21,24,0.1245,436507.56,248089.04,0,Stage 1 - Performing
CUST00077,Kitengela,Nairobi,Personal Loan,Retail,J. Mwangi,2025-05-06,84,0.1485,123875.64,49296.4,20,Stage 1 - Performing
CUST00078,Nairobi CBD,Nairobi,Mortgage,Retail,A. Otieno,2025-02-20,24,0.1544,1164205.48,517294.34,0,Stage 1 - Performing
CUST00079,Eldoret,Rift Valley,SME Loan,Retail,M. Hassan,2024-11-19,48,0.1234,426306.85,162620.92,10,Stage 1 - Performing
CUST00080,Nakuru,Rift Valley,SME Loan,Corporate,J. Mwangi,2024-11-15,60,0.128,93985.91,88256.94,120,Stage 3 - Non-Performing
CUST00081,Kisumu,Nyanza,SME Loan,Corporate,J. Mwangi,2023-06-01,84,0.1888,688409.46,652638.14,32,Stage 2 - Underperforming
CUST00082,Westlands,Nairobi,Motor Loan,Retail,P. Njoroge,2023-01-25,36,0.1798,23631.07,14876.38,10,Stage 1 - Performing
CUST00083,Kisumu,Nyanza,Personal Loan,Retail,F. Wanjiru,2025-02-26,60,0.1314,150924.55,34617.71,32,Stage 2 - Underperforming
CUST00084,Kisumu,Nyanza,SME Loan,SME,J. Mwangi,2024-10-23,84,0.1647,312141.96,224172.7,0,Stage 1 - Performing
CUST00085,Kisumu,Nyanza,Overdraft,Retail,J. Mwangi,2025-03-31,12,0.1684,861741.31,391394.68,0,Stage 1 - Performing
CUST00086,Westlands,Nairobi,Asset Finance,Retail,S. Kimani,2023-02-01,84,0.1509,295693.41,206570.88,0,Stage 1 - Performing
CUST00087,Kisumu,Nyanza,SME Loan,Retail,P. Njoroge,2023-12-13,84,0.1773,770594.52,554168.96,5,Stage 1 - Performing
CUST00088,Kisumu,Nyanza,SME Loan,Retail,L. Achieng,2024-07-13,60,0.1631,83766.61,78609.28,15,Stage 1 - Performing
CUST00089,Nakuru,Rift Valley,Asset Finance,Retail,M. Hassan,2024-03-11,84,0.1394,275338.28,37598.86,0,Stage 1 - Performing
CUST00090,Kisumu,Nyanza,Personal Loan,SME,P. Njoroge,2024-03-06,48,0.1411,57580.75,30245.96,5,Stage 1 - Performing
CUST00091,Westlands,Nairobi,Motor Loan,SME,S. Kimani,2024-06-09,36,0.1206,167522.12,115783.32,5,Stage 1 - Performing
CUST00092,Kisumu,Nyanza,Personal Loan,Corporate,F. Wanjiru,2023-11-13,12,0.1833,294670.24,114941.53,90,Stage 2 - Underperforming
CUST00093,Thika,Central,SME Loan,SME,F. Wanjiru,2025-01-29,36,0.16,508449.38,86624.48,0,Stage 1 - Performing
CUST00094,Westlands,Nairobi,Asset Finance,Retail,J. Mwangi,2023-07-05,24,0.1266,339184.68,151465.68,5,Stage 1 - Performing
CUST00095,Eldoret,Rift Valley,Mortgage,Retail,M. Hassan,2024-07-31,84,0.1499,340208.04,193194.05,0,Stage 1 - Performing
CUST00096,Westlands,Nairobi,Overdraft,Retail,F. Wanjiru,2025-05-26,24,0.1378,241597.96,205962.86,15,Stage 1 - Performing
CUST00097,Eldoret,Rift Valley,Personal Loan,Corporate,S. Kimani,2024-07-02,24,0.1406,344017.52,217596.91,0,Stage 1 - Performing
CUST00098,Westlands,Nairobi,Overdraft,SME,P. Njoroge,2025-04-17,48,0.1208,396577.47,155413.1,0,Stage 1 - Performing
CUST00099,Kitengela,Nairobi,SME Loan,Retail,F. Wanjiru,2025-03-29,60,0.1887,75255.97,46659.01,0,Stage 1 - Performing
CUST00100,Kitengela,Nairobi,SME Loan,Retail,F. Wanjiru,2023-02-15,84,0.1288,724094.85,444241.49,0,Stage 1 - Performing
CUST00101,Mombasa,Coast,Motor Loan,SME,M. Hassan,2023-12-24,24,0.1222,829110.25,414207.84,90,Stage 2 - Underperforming
CUST00102,Kisumu,Nyanza,Asset Finance,SME,J. Mwangi,2023-05-12,60,0.1514,232177.2,193819.12,45,Stage 2 - Underperforming
CUST00103,Mombasa,Coast,Motor Loan,SME,J. Mwangi,2024-08-10,36,0.1804,354013.93,225167.53,20,Stage 1 - Performing
CUST00104,Mombasa,Coast,Personal Loan,Corporate,M. Hassan,2023-04-05,84,0.1395,292910.27,247243.97,10,Stage 1 - Performing
CUST00105,Eldoret,Rift Valley,Personal Loan,Retail,P. Njoroge,2025-04-06,48,0.1428,322966.39,79460.62,0,Stage 1 - Performing
CUST00106,Kitengela,Nairobi,Asset Finance,SME,F. Wanjiru,2023-10-03,48,0.1754,548069.88,101271.82,0,Stage 1 - Performing
CUST00107,Kisumu,Nyanza,SME Loan,Retail,J. Mwangi,2025-06-15,36,0.1765,381851.15,267125.18,0,Stage 1 - Performing
CUST00108,Kisumu,Nyanza,Motor Loan,SME,J. Mwangi,2023-10-03,48,0.149,292270.47,58335.95,0,Stage 1 - Performing
CUST00109,Mombasa,Coast,SME Loan,Retail,L. Achieng,2024-01-07,24,0.1246,737017.56,206204.74,0,Stage 1 - Performing
CUST00110,Kitengela,Nairobi,Motor Loan,Retail,A. Otieno,2023-10-30,48,0.1852,113445.13,12307.4,120,Stage 3 - Non-Performing
CUST00111,Nairobi CBD,Nairobi,SME Loan,Retail,J. Mwangi,2025-02-02,24,0.1688,412487.16,292570.53,0,Stage 1 - Performing
CUST00112,Nakuru,Rift Valley,Personal Loan,SME,A. Otieno,2024-11-30,48,0.1686,277795.69,153689.39,5,Stage 1 - Performing
CUST00113,Eldoret,Rift Valley,Motor Loan,Retail,P. Njoroge,2024-05-03,12,0.1285,286614.31,68477.09,0,Stage 1 - Performing
CUST00114,Kisumu,Nyanza,Overdraft,Retail,J. Mwangi,2024-02-16,84,0.1289,826536.97,461253.81,1,Stage 1 - Performing
CUST00115,Westlands,Nairobi,Personal Loan,Retail,P. Njoroge,2025-04-01,84,0.1498,435298.41,122971.57,90,Stage 2 - Underperforming
CUST00116,Westlands,Nairobi,SME Loan,SME,P. Njoroge,2025-04-09,60,0.147,342868.25,205953.31,0,Stage 1 - Performing
CUST00117,Nakuru,Rift Valley,Asset Finance,Retail,L. Achieng,2024-08-23,12,0.1311,351259.3,278671.42,1,Stage 1 - Performing
CUST00118,Kisumu,Nyanza,Motor Loan,Retail,S. Kimani,2025-01-24,84,0.1463,370143.85,111195.97,90,Stage 2 - Underperforming
CUST00119,Thika,Central,SME Loan,Retail,J. Mwangi,2025-02-27,84,0.1532,285204.43,133958.99,0,Stage 1 - Performing
CUST00120,Thika,Central,Overdraft,SME,M. Hassan,2024-04-24,24,0.1527,151895.05,97242.7,0,Stage 1 - Performing
CUST00121,Nakuru,Rift Valley,SME Loan,Retail,A. Otieno,2024-11-27,48,0.1213,248561.49,69594.95,45,Stage 2 - Underperforming
CUST00122,Nakuru,Rift Valley,Mortgage,SME,P. Njoroge,2024-08-21,24,0.1897,627984.54,526453.22,120,Stage 3 - Non-Performing
CUST00123,Eldoret,Rift Valley,Motor Loan,Retail,J. Mwangi,2023-12-01,84,0.1317,269290.61,140693.24,60,Stage 2 - Underperforming
CUST00124,Nakuru,Rift Valley,Personal Loan,Retail,A. Otieno,2023-12-09,12,0.1457,240401.77,154112.23,45,Stage 2 - Underperforming
CUST00125,Kitengela,Nairobi,Personal Loan,Retail,P. Njoroge,2023-12-08,48,0.1842,517527.98,474345.57,20,Stage 1 - Performing
CUST00126,Kisumu,Nyanza,SME Loan,Retail,S. Kimani,2024-07-27,84,0.1867,647526.36,271119.87,0,Stage 1 - Performing
CUST00127,Kisumu,Nyanza,SME Loan,Retail,M. Hassan,2025-05-01,84,0.1441,312943.13,73114.61,0,Stage 1 - Performing
CUST00128,Nairobi CBD,Nairobi,Personal Loan,Retail,S. Kimani,2023-04-14,24,0.1369,367448.92,275643.83,60,Stage 2 - Underperforming
CUST00129,Nakuru,Rift Valley,Personal Loan,Retail,M. Hassan,2023-02-14,84,0.1457,266801.11,69307.15,60,Stage 2 - Underperforming
CUST00130,Kisumu,Nyanza,Motor Loan,Retail,J. Mwangi,2024-04-20,60,0.137,365543.61,113368.82,0,Stage 1 - Performing
CUST00131,Nairobi CBD,Nairobi,SME Loan,Retail,P. Njoroge,2023-03-17,84,0.1801,204271.24,191604.76,120,Stage 3 - Non-Performing
CUST00132,Mombasa,Coast,Overdraft,Retail,P. Njoroge,2023-09-22,24,0.1258,138937.01,106347.4,10,Stage 1 - Performing
CUST00133,Mombasa,Coast,SME Loan,Retail,P. Njoroge,2025-03-01,24,0.1733,442433.64,69002.9,1,Stage 1 - Performing
CUST00134,Thika,Central,Asset Finance,Retail,M. Hassan,2024-08-21,24,0.1551,1136683.93,783849.56,32,Stage 2 - Underperforming
CUST00135,Kisumu,Nyanza,SME Loan,Retail,L. Achieng,2023-10-01,60,0.1848,274244.48,240866.7,15,Stage 1 - Performing
CUST00136,Kitengela,Nairobi,Personal Loan,SME,L. Achieng,2023-09-03,84,0.1728,411883.33,194387.86,0,Stage 1 - Performing
CUST00137,Kitengela,Nairobi,Personal Loan,SME,S. Kimani,2024-08-19,24,0.1514,43141.25,33104.61,0,Stage 1 - Performing
CUST00138,Eldoret,Rift Valley,Personal Loan,Retail,A. Otieno,2023-11-13,24,0.1206,1020006.03,605929.68,0,Stage 1 - Performing
CUST00139,Mombasa,Coast,Mortgage,Retail,F. Wanjiru,2023-11-09,12,0.1859,654674.27,493767.78,0,Stage 1 - Performing
CUST00140,Kitengela,Nairobi,Asset Finance,SME,J. Mwangi,2025-02-05,12,0.1713,142701.47,92445.41,0,Stage 1 - Performing
CUST00141,Kisumu,Nyanza,Mortgage,Corporate,L. Achieng,2025-01-22,24,0.1513,303980.62,264454.36,0,Stage 1 - Performing
CUST00142,Eldoret,Rift Valley,Asset Finance,Retail,J. Mwangi,2023-02-06,24,0.1288,143273.86,59791.07,1,Stage 1 - Performing
CUST00143,Nakuru,Rift Valley,Asset Finance,Retail,J. Mwangi,2024-05-04,36,0.1521,156459.67,42904.74,0,Stage 1 - Performing
CUST00144,Nakuru,Rift Valley,SME Loan,Retail,A. Otieno,2023-04-02,48,0.1647,255554.43,212625.05,120,Stage 3 - Non-Performing
CUST00145,Kitengela,Nairobi,Asset Finance,SME,S. Kimani,2023-10-25,24,0.1299,229356.21,29215.91,15,Stage 1 - Performing
CUST00146,Eldoret,Rift Valley,Personal Loan,Retail,A. Otieno,2023-10-21,60,0.1506,108586.88,32970.96,150,Stage 3 - Non-Performing
CUST00147,Nairobi CBD,Nairobi,SME Loan,Corporate,F. Wanjiru,2023-01-15,60,0.1396,351321.09,148840.73,0,Stage 1 - Performing
CUST00148,Thika,Central,Motor Loan,Retail,J. Mwangi,2023-12-26,60,0.142,389771.83,315027.7,45,Stage 2 - Underperforming
CUST00149,Thika,Central,Mortgage,SME,M. Hassan,2023-01-27,48,0.1516,84575.23,54864.9,0,Stage 1 - Performing
CUST00150,Eldoret,Rift Valley,Personal Loan,Retail,J. Mwangi,2023-10-28,48,0.1659,777057.94,634894.41,10,Stage 1 - Performing
CUST00151,Thika,Central,Motor Loan,Retail,J. Mwangi,2023-10-04,48,0.1711,410686.16,338144.26,0,Stage 1 - Performing
CUST00152,Eldoret,Rift Valley,Personal Loan,Retail,L. Achieng,2023-07-09,60,0.178,391061.18,361553.39,0,Stage 1 - Performing
CUST00153,Nakuru,Rift Valley,Motor Loan,SME,L. Achieng,2025-04-05,48,0.1584,166407.53,87835.6,0,Stage 1 - Performing
CUST00154,Kisumu,Nyanza,SME Loan,Retail,L. Achieng,2024-02-23,48,0.174,656212.52,401082.04,0,Stage 1 - Performing
CUST00155,Kitengela,Nairobi,Personal Loan,Retail,S. Kimani,2023-01-20,36,0.1772,687176.81,430171.1,120,Stage 3 - Non-Performing
CUST00156,Westlands,Nairobi,Personal Loan,Retail,L. Achieng,2024-06-28,36,0.1607,463216.14,431993.39,5,Stage 1 - Performing
CUST00157,Mombasa,Coast,Motor Loan,Retail,A. Otieno,2025-03-06,24,0.183,363944.8,223421.25,0,Stage 1 - Performing
CUST00158,Kitengela,Nairobi,Motor Loan,Retail,P. Njoroge,2023-07-23,12,0.183,134518.87,82649.56,5,Stage 1 - Performing
CUST00159,Eldoret,Rift Valley,Personal Loan,Retail,J. Mwangi,2024-12-06,48,0.1675,197582.38,52707.14,0,Stage 1 - Performing
CUST00160,Nakuru,Rift Valley,Asset Finance,Corporate,M. Hassan,2023-12-01,24,0.1757,256625.99,60433.34,0,Stage 1 - Performing
CUST00161,Nakuru,Rift Valley,Asset Finance,Corporate,M. Hassan,2023-12-05,12,0.1455,898159.64,721466.69,20,Stage 1 - Performing
CUST00162,Westlands,Nairobi,SME Loan,Retail,A. Otieno,2023-12-04,60,0.1572,570116.16,246788.87,0,Stage 1 - Performing
CUST00163,Westlands,Nairobi,Personal Loan,SME,S. Kimani,2025-04-03,12,0.1486,297324.17,200820.05,0,Stage 1 - Performing
CUST00164,Eldoret,Rift Valley,Mortgage,Retail,L. Achieng,2024-10-28,48,0.1529,704960.12,445280.51,5,Stage 1 - Performing
CUST00165,Mombasa,Coast,Asset Finance,SME,S. Kimani,2024-09-09,84,0.1713,393168.42,369103.41,45,Stage 2 - Underperforming
CUST00166,Nairobi CBD,Nairobi,Personal Loan,SME,J. Mwangi,2024-03-09,24,0.1354,990240.6,420139.17,5,Stage 1 - Performing
CUST00167,Nakuru,Rift Valley,Asset Finance,Retail,F. Wanjiru,2024-11-07,60,0.1436,335669.45,105569.0,10,Stage 1 - Performing
CUST00168,Thika,Central,SME Loan,Retail,P. Njoroge,2024-12-20,48,0.1243,389165.56,345106.65,120,Stage 3 - Non-Performing
CUST00169,Thika,Central,SME Loan,SME,M. Hassan,2023-09-11,84,0.1609,103020.47,86434.12,45,Stage 2 - Underperforming
CUST00170,Mombasa,Coast,SME Loan,SME,L. Achieng,2023-11-18,60,0.1836,275638.19,256388.07,0,Stage 1 - Performing
CUST00171,Nakuru,Rift Valley,Mortgage,Corporate,F. Wanjiru,2025-04-07,84,0.1526,195708.72,31928.12,20,Stage 1 - Performing
CUST00172,Thika,Central,Asset Finance,Retail,J. Mwangi,2023-08-20,84,0.1757,98376.26,54377.76,0,Stage 1 - Performing
CUST00173,Nairobi CBD,Nairobi,Personal Loan,Retail,S. Kimani,2025-06-01,60,0.1485,69211.37,12744.07,1,Stage 1 - Performing
CUST00174,Mombasa,Coast,Personal Loan,Retail,P. Njoroge,2024-03-24,84,0.1867,437703.9,197726.05,20,Stage 1 - Performing
CUST00175,Kisumu,Nyanza,Motor Loan,Retail,P. Njoroge,2023-06-06,36,0.1662,129316.42,60304.42,15,Stage 1 - Performing
CUST00176,Mombasa,Coast,Personal Loan,Retail,S. Kimani,2024-01-26,12,0.1595,448024.98,409411.32,0,Stage 1 - Performing
CUST00177,Thika,Central,Personal Loan,SME,A. Otieno,2024-09-27,36,0.1555,500741.82,90568.15,0,Stage 1 - Performing
CUST00178,Nakuru,Rift Valley,Personal Loan,Retail,A. Otieno,2024-08-21,48,0.1615,559388.13,318081.1,60,Stage 2 - Underperforming
CUST00179,Westlands,Nairobi,Motor Loan,Retail,A. Otieno,2023-05-25,48,0.1746,196846.95,30049.74,0,Stage 1 - Performing
CUST00180,Eldoret,Rift Valley,Personal Loan,Retail,J. Mwangi,2024-03-09,84,0.1862,248997.04,180653.42,0,Stage 1 - Performing
CUST00181,Thika,Central,Personal Loan,Retail,S. Kimani,2024-10-04,36,0.1468,807377.84,728843.04,15,Stage 1 - Performing
CUST00182,Mombasa,Coast,Personal Loan,SME,F. Wanjiru,2024-03-15,84,0.1342,108357.99,87072.34,0,Stage 1 - Performing
CUST00183,Westlands,Nairobi,Mortgage,Corporate,L. Achieng,2023-09-05,60,0.1732,464713.3,206986.26,0,Stage 1 - Performing
CUST00184,Eldoret,Rift Valley,Personal Loan,Retail,M. Hassan,2023-08-10,24,0.1213,243886.55,161963.72,0,Stage 1 - Performing
CUST00185,Kitengela,Nairobi,Asset Finance,Retail,J. Mwangi,2023-11-05,24,0.1266,517464.5,261530.17,0,Stage 1 - Performing
CUST00186,Westlands,Nairobi,Personal Loan,Retail,M. Hassan,2025-04-12,24,0.1775,117671.29,21421.16,0,Stage 1 - Performing
CUST00187,Thika,Central,Asset Finance,Corporate,P. Njoroge,2024-01-15,48,0.1332,262067.06,103653.46,0,Stage 1 - Performing
CUST00188,Nakuru,Rift Valley,SME Loan,SME,S. Kimani,2024-09-09,12,0.1322,247701.09,51050.88,0,Stage 1 - Performing
